,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
314,Xiaomi,10749,5,128,8,4,900-3000,4.5,,1,10,3,6,Android,Yok,2,USB Type-C,10,Var,3.5 mm,5000,Gri
315,Samsung,67998,20,512,12,7,3000 - 7900,5,,2,5,3,7,Android,Var,2,USB Type-C,5,Var,USB Type-C,4000,Mavi
316,Hiking,6899,5,128,6,6,4000 - 5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
317,NOTHING,18799,20,256,8,6,4000 - 5000,4,Phone 1,1,15,2,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4500,Siyah
318,Apple,46749,12,128,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Sarı
319,Oppo,14999,20,128,8,6,4000 - 5000,4.5,Oppo Reno 5 Lite,1,20,4,6,Android,Yok,2,USB Type-C,20,Var,3.5 mm,4000,Gri
320,Samsung,13700,64,128,8,6,5000,5,Galaxy A53,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Turuncu
321,Tecno,3799,10,64,3,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
322,Samsung,17200,5,128,8,4,1500  altı,4.5,Galaxy S21,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Gri
323,omix,4493,5,64,4,6,4000 - 5000,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Gri
324,Samsung,14349,50,128,8,6,5000,5,Galaxy A54,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Yeşil
325,Samsung,11960,12,128,6,6,4500,4.5,Galaxy S20,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Yeşil
326,omix,4899,5,128,4,6,2800,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Gri
327,Tecno,6269,15,128,6,6,3000 - 7900,4.5,,1,15,2,6,Android,Yok,2,USB Type-C,15,Var,3.5 mm,4500,Beyaz
328,Samsung,6499,20,64,4,6,4000 - 5000,4.5,Galaxy A14,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,4500,Siyah
329,Hiking,7399,20,128,6,6,4000 - 5000,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mor
330,Samsung,21948,5,128,8,4,1500  altı,5,Galaxy A73,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Gri
331,Samsung,43590,10,512,8,6,4000 - 5000,4.5,Galaxy S22 Ultra,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Bordo
332,Xiaomi,3799,10,64,4,6,3000 - 7900,4.5,,1,10,2,6,Android,Var,2,Micro-USB,10,Yok,3.5 mm,5000,Yeşil
333,Samsung,11250,20,64,4,6,4000 - 5000,4.5,,1,10,4,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Beyaz
334,realme,9649,20,256,8,6,5000,4,,1,15,1,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Siyah
335,Reeder,2478,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Mavi
336,Samsung,6249,20,64,4,6,4000 - 5000,4.5,,4,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
337,POCO,3449,5,32,4,6,3000 - 4000,4,POCO C40,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
338,Apple,46174,12,256,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Kırmızı
339,Hiking,,5,128,4,4,1500  altı,5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
